,Forecast,Lower_CI,Upper_CI
2027-04-09,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-12,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-13,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-14,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-15,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-16,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-19,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-20,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-21,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-22,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-23,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-26,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-27,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-28,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-29,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-30,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-03,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-04,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-05,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-06,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-07,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-10,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-11,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-12,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-13,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-14,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-17,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-18,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-19,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-20,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-21,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-24,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-25,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-26,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-27,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-28,418.07745641296765,385.2317926271186,450.9231201988167
2027-05-31,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-01,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-02,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-03,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-04,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-07,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-08,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-09,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-10,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-11,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-14,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-15,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-16,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-17,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-18,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-21,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-22,418.07745641296765,385.2317926271186,450.9231201988167
2027-06-23,418.07745641296765,385.2317926271186,450.9231201988167
